0,subjectivity,1
"S. 139 does not have the votes to be passed out of the Environment and Public Works Committee, yet McCain secured a vote for it on the Senate floor last October 30, when weaker version of the bill was defeated 43 to 55. McCain forced Senate Majority Leader Bill Frist (R-Tenn.) to schedule this vote on S. 139 in exchange for McCain's agreement to allow the Domenici energy bill to be replaced by the Daschle energy bill from the previous Congress. That switch required unanimous consent under Senate rules.",SUBJ,0_0
Paperback AvailablePaperback DIM: 6'' x 9''Paperback ISBN: 0844741868Paperback Pages: 160Paperback Price: $20.00Buy the Book,OBJ,0_0
"It wasnt just the Obama administration that expressed doubts about the original Keystone XL pipeline proposal, which would transport heavy crude oil from Canadian tar sands to refineries along the Gulf of Mexico and has become a bone of contention in the presidential race. The state of Nebraska last year told TransCanada that its proposed route through that state needed adjustment, too.",OBJ,0_0
H2341 6.0 L1918 0.3 L2001 0.2 L2041 0.2 L2119 0.3 L2153 0.4,OBJ,0_0
Temperatures in Minden this week are forecast to be 30-40 degrees cooler than they were in 1936. President Barack Obama says that the US is heating out of control.,OBJ,1_3
New Jersey Governor Chris Christie responds to O'Keefe video:,OBJ,0_0
"While it might not have been obvious, I am trying to come up with a quantitative method for correcting past temperature measurements for the localized warming effects due to the urban heat island (UHI) effect. I am generally including in the ???UHI effect?? any replacement of natural vegetation by manmade surfaces, structures and active sources of heat. I don??t want to argue about terminology, just keep things simple.",SUBJ,5_1
"In the introduction to the report of their recently concluded study, the authors enunciate one of the purposes for undertaking it, writing that if ecosystem carbon stocks increase with warming, their greater net uptake of CO 2 would slow increases in concentrations of this greenhouse gas in the atmosphere, providing a negative feedback to further greenhouse warming."" What was done""",OBJ,3_1
"In addition, the IWG ignored guidance from OMB regarding appropriate discount rates and did not use the most up to date equilibrium climate sensitivity distributions.",OBJ,0_0
"In brief response, Maneja et al. write that the swimming kinematics in Atlantic herring larvae that had survived to 34-dph were unaffected by extremely elevated levels of seawater p CO 2 , indicating that at least some larvae in the population are resilient to ocean acidification."" And in further commenting on their findings, they say ""it also appears that inter-individual variation in the behavioral responses of some fishes to elevated p CO 2 selects for tolerant individuals, possibly resulting in resilience to ocean acidification,"" citing the work of Munday et al. (2012).""",OBJ,3_2
