0,subjectivity,1
"And so it has come to pass, as is explained in an excellent article titled, Greens Sour on Natural Gas , by Bob King, from yesterdays Politico . It starts,",SUBJ,0_0
"Every individual, as long as he did not violate the laws of justice a respect for every other persons right to their life, liberty and honestly acquired property would then be left perfectly free to pursue his own interest his own way, and to bring his industry and capital into competition with those of any other man or group of men.",OBJ,0_0
"Clearly, the temporal history of Caribbean coral cover change does not bear any resemblance to the gradual and continuous decline that could have been expected from the concomitant increase in oceanic pCO2 and decrease in pH. Indeed, after suffering the sharp one-year decline caused by the white band disease outbreak, coral cover once again stabilized, which phenomenon, in the words of Schutte et al., ???could be interpreted as relatively good news?? ??? which it truly is ??? although they state that this pattern ???could also be a temporary plateau preceding a potential collapse in coral cover.?? Then, again, we could just as easily say it could also be a temporary plateau preceding a potential increase in coral cover. (Isn??t speculation wonderful?)",SUBJ,3_2
"We are very close to a Palestinian state, so we cannot fail again. If we get two rockets every day at Ben Gurion, we are done.",SUBJ,0_0
"Most outrageous of all, though, was how ill-prepared the region was for another major storm and how many political decisions had virtually ensured that any repeat of the 1893, 1938, 1944 and other storms would bring devastation far worse than would likely have occurred in the absence of those decisions.",SUBJ,0_0
"http://blogs.news.com.au/heraldsun/andrewbolt/index.php/heraldsun/comments/save not the planet but this boy#63033 If someone with influence over him or his family is reading this, please step in. I'm not saying this is another case of  climate change delusion "", but I see here a man in the grip of an irrational, religious rapture, seemingly convinced that the world's fate really does lie on his plate.""",SUBJ,0_0
"Sherman next admitted that yes, the stations showed a slight end-to-end drop over the time theyve run. That was nice to see. But he then argued the very brief temperature uptick in 2011-2012 means the long-term temperature trend may end up oscillating while remaining rather flat rather than being one of long-term cooling. OK, that may or may not turn out to be the case, but where did I claim that Shermans admitted 10-year cooling portends a longer-term cooling trend? Which part of Of course, 10 years is hardly enough to establish a long-term trend was Sherman incapable of understanding? Moreover, even if a long-term oscillating temperature stagnation does indeed occur, that would also support my larger argument that the temperature data contradict claims of accelerating warming.",SUBJ,1_4
"In fact, Brian Groombridge who edited the most recent edition of the IUCN's Red List of Threatened Animals points out that around 75 percent of recorded extinctions have occurred on islands; almost all bird and mollusc extinctions have been on islands very few extinctions have been recorded in continental tropical forest habitat where mass extinction events have been predicted to be underway."" (Stephen Edwards, ""The True State of the Planet,"" p.218)""",OBJ,0_0
"While JAXA shows extent now lower than 2009, DMI and NANSEN plots show it to be about even. The differences in observing sensor/platform AMSRE -vs-SSMI and methodologies at agencies are in play.",SUBJ,0_0
The environmental movement isnt going to stop at putting coal out of business.,OBJ,0_0
