0,subjectivity,1
"Hail, bounteous May, that doth inspire mirth",OBJ,0_0
But the climate scientists at CRU and elsewhere have denied McIntyre's information requests for yearsPhil Jones even emailed that he'd destroy the data rather than let McIntyre have it.,OBJ,5_2
Various key claims are contradicted by other more extensive work by the same researchers with no acknowledgment or discussion of this.,OBJ,0_0
"The scientific work on which the last IPCC report rests is now more than three years old, and in the intervening period several significant research reports have appeared that cast serious doubt on its conclusions.",OBJ,5_1
" A paper published ...in the Journal of Geophysical Research finds the loss rate in southeast Greenland for the more recent period has become almost negligible, down from 109 28 Gt/yr of just a few years ago. The rapid change in the nature of the regional ice mass in southeast and northwest Greenland, in the course of only several years, further reinforces the idea that the Greenland ice sheet mass balance is very vulnerable to regional climate conditions."" Global warming allegedly due to greenhouse gases would not be expected to cause such regional interannual variability in Greenland ice loss, thus pointing to shifts in weather instead.""",OBJ,2_1
"Practically all opponents of the EPA?s new rules are taking the same tack. They seem to think that they can thwart the so-called ?war on coal? while accepting the main reason for the regulations, the highly debatable premise that we can control Earth?s climate merely by adjusting our carbon-dioxide emissions.",SUBJ,0_0
"Power companies are considering new nukes in part because federal regulations have changed for the better over the past few years. Today, companies can apply to the Nuclear Regulatory Commission (NRC) for a single license to build and operate a plant, an improvement over the old two-step process. Companies also can choose from standard designs approved by the agency.",OBJ,0_0
"Eme et al. exposed two species of tropical fish to significantly warmer water. Both species easily survived the hotter waters, indicating that tropical fish have a high toleration for temperature variation.",OBJ,3_2
"Both domestic programs that subsidize risk-taking and international aid programs that subsidize risk taking should be phased out as quickly as possible, replaced with fully-priced insurance regimes. Eliminating risk subsidies would show people some of the true cost of living in climatically risky areas, and would, over time, lead them to move to climatically safer places where they can afford to insure their property and safety.",SUBJ,0_0
Blackouts ahead if EPA rules shut down more power plants,OBJ,0_0
A particularly ingenious way by which almost any adaptive response to any type of environmental stress may be enhanced in the face of the occurrence of that stress would be to replace the zooxanthellae expelled by the coral host during a stress-induced bleaching episode by one or more varieties of zooxanthellae that are more tolerant of the stress that caused the bleaching.,OBJ,3_2
"Restrictions on oil and natural gas production offshore, in the West, and on Alaskan lands should be lifted and encouragement given the oil and natural gas industry to start production. Professor Timothy Considine wrote in the Denver Post Drilling on Federal Lands: How The West Could Be Won Again"" that: if the output on federal lands had matched that on private property, the economic benefits would have been significant. I estimate that over the next decade, the region's seven states Wyoming, Utah, Colorado, New Mexico, Montana, Nevada, and Idaho would gain between $9.5 billion and $26 billion in annual gross regional product, between $2.4 billion and $5.1 billion in annual tax revenue, and between 67,000 and 208,000 regional jobs.""",SUBJ,0_0
"Instead of saying the password, the Australian could be mocking the gatekeepers.",OBJ,0_0
"Heavy snow fell with high intensity in the region of Korcs, the thickness of which has reached 10 cm (4 inches), while Dardh reaches 20 cm (8 inches).",OBJ,1_3
Please note that articles not linked easily or summarized here are reproduced in the Articles Section of the full TWTW that can be found on the web site under the date of the TWTW.,OBJ,0_0
"I don't envy them the taskbut I remember a British politician a decade ago marveling about the governmental impact of the global warming fear: My constituents are actually demanding that I raise their taxes!""",OBJ,0_0
"* This is the second time I have done this in a week, dropping a decade in the math. I think it is some subconcious process fighting aging.",SUBJ,0_0
"* The bucket method has been used since earliest times. The samples come from near the surface (about 1 meter), and temperatures are recorded manually. They should show a pronounced max after noon due to direct solar heating.",SUBJ,0_0
"Counter: Unbearable Heat During The Ice Age': ""Now that we know that heat causes harsh winters, one can only imagine how hot the last ice age must have been'""",SUBJ,0_0
"Scientists have been predicting a doubling of atmospheric CO2 by 2050, but current trends suggest a doubling sometime after 2100. According to James Hansen, head of NASA's Goddard Institute for Space Studies, this new revelation shows that our understanding of greenhouse gases is not all that good."" Hansen also said, ""we really have to understand the cycles of these greenhouse gases if we're going to reliably forecast what's going to happen in the next century"" (The Christian Science Monitor, July 15, 1999).""",OBJ,0_0
"Presumably somebody added the line and in doing so provided a general range for the MWP and the LIA. By eyeball the MWP covers A.D. 950 to 1350, and the LIA from A.D. 1350 to 1900. This does not match with the numbers in the text, particularly for the LIA with numbers attributed to Grove of 150 to 450 years ago or A.D. 1540 to 1840. There are a few interesting comments that needed correction for the politically motivated 2001 IPCC Report. In referring to the MWP, they note,",OBJ,5_2
Ms Shelton won't mind if you click,OBJ,0_0
"The so-called Lochner-era decisions of the Supreme Court relied on just that distinction to enforce vigorously the antitrust laws against cartels while striking down mandatory collective bargaining and minimum wage laws for their manifestly anticompetitive efforts. The rejection of that earlier line of jurisprudence has led to the massive expansion of government regulation over labor markets in the form of the National Labor Relations Act and the Fair Labor Standards Act, which have had exactly the effect of creating monopoly institutions and imposing entry barriers at the bottom end of the labor market, hurting the workers with the most limited skills.",OBJ,0_0
