0,subjectivity,1
"Because this correlation is studied in a quantum theory, we should really call it entanglement"", not just ""correlation"", but it's really meant to be exactly the same thing. Quantum mechanics is a different theory than classical physics so it says different things about the correlations of different quantities, and how correlations between some properties may co-exist with correlations in others and how strong these correlations may be. However, at the end, the interpretation is still the same: entanglement is a correlation between properties of two parts of a larger system.""",,0_0
"The NSIDC maps show 7.5% more ice in 2010 than 2007, but their graph shows less than 3% difference.",,1_1
"These claims will be investigated by several competing experiments in the near future. XENON1T is an upgraded XENON experiment before the upgrade, the XENON folks were staunch members of the dark matter is not seen"" axis. However, very soon, a new and so far neutral player could enter the war: LUX in South Dakota ; see also LUX news .""",,0_0
record for a 100-yard dash and then flame out before ever reaching the finish line.,,0_0
"The Cooler Heads Coalition will hold a congressional and media briefing by Professor Richard S. Lindzen of MIT on September 30 from noon to 1:30 PM in Room 345 of the Cannon House Office Building. Lunch will be provided. Reservations are required. Those wishing to attend should e-mail their name, affiliation, and phone number to mebell@cei.org or telephone Myron Ebell at (202) 331-1010, ext. 216. Dr. Lindzen will be speaking On the meaning of global warming claims.""",,0_0
"already mentioned: Thornborough Henges, Knowlton Circles, Stanton Drew stone circles, Arbor Low;",,0_0
"Given that CO2 levels, at 400 ppm (388, actually), are now twice 200 ppm, and half 800 ppm, at what point would you expect carbon saturation"" to set in and warming based on additional carbon dioxide to more or less cease (I know warming doesn't end entirely, but the additional warming per unit is miniscule). One gets the impression, reading the papers, that additional units of CO2 will create a lot more warming per unit, rather than a lot less.""",,0_0
"NSF Releases Online, Multimedia Package Titled, Clouds: The Wild Card of Climate Change",,0_0
"A new paper provides more evidence for the reality of the Little Ice Age in the Southern Hemisphere, as well as its increased storminess compared to that of the Medieval and Current Warm Periods",,0_0
"We were surprised to find that the primary production in the tropics is not so strongly dependent on the amount of rain, says Markus Reichstein. Here, too, we therefore need to critically scrutinize the forecasts of some climate models which predict the Amazon will die as the world gets drier .",,5_1
"The cold winters are likely to continue and so are the floods for the next 20-30 years as the 60 year planetary climate cycle goes into its cold phase. We are having the winters like the previous cold cycle 30 years ago. Yet Environment Canada only talks about continuing global warming . on their web page .There is absolutely nothing about possible global cooling or warning to the Canadian public and businesses about possible flooding again, crop losses, infrastructure disruptions, etc from the pending weather.",,1_2
"We were sampling with the largest chain saws we could find a chain-saw bar of seven feet, he said. We were hauling these slabs of wood two meters on a side as far as two kilometers to the road. We were using wheeled litters the emergency rescue equipment for people and put a couple hundred pounds on them.",,0_0
All estimates (OHC and TOA) show that over the past decade the energy imbalance ranges between about 0.5 and 1 Wm -2 .,,0_0
"Greg Page, chief executive of global grains trading giant Cargill Inc, joined a chorus of critics of biofuels by urging the U.S. government to temporarily curb its quotas to produce corn-based ethanol fuel.",,0_0
"With this very brief background study, should we be surprised if scientists who are pushing Global Warming as a man-made disaster would be reluctant to criticize the claim if they knew their funding would be cut? There are big bucks in Global Warming. Those who are pushing it are mostly ideologues with a larger political agenda.",,5_2
"Voters made their preference clear: Republicans won more seats, and with bigger majorities, than anyone predicted.",,0_0
"As the UK experiences its coldest March in 50 years and braces for a white Easter weekend at the same time there are critical shortages of natural gas, Christopher Booker expresses his frustration with the UK's energy policy in The (UK) Telegraph:",,0_0
