0,subjectivity,1
Posted by Hockey Schtick on 25 Oct 2013,,0_0
"Yours truly: What actual evidence supports the dangerous climate effects"" assertion?""",,0_0
"But BAT also demands a lot more in seeking to set the relevant inputs, for now everyone has bad incentives. More specifically, a regulated utility will downgrade the expected benefits of technological improvements while talking up the costs of implementation. Environmental activists, with none of their own dollars on the line, have the exact opposite incentive. No court can easily work its way through the BAT minefield, but they still must review, at a great cost in time and money, a wide range of necessary EPA decisions under the CAA.",,0_0
"For hundreds of millions of the world's poor, however, coal is cleaner and more energy efficient than the alternative. This is one of the many inconvenient truths that environmentalists ignore in their dogged pursuit of a static global ecosystem.",,4_5
"This article originally appeared in the Washington Times on April 9, 2010.",,0_0
The Global Isostatic Adjustment (GIA) is one of the biggest frauds in climate science. They add 3mm/year to sea level rise rates based on the idea that the sea floor is sinking due to glacial rebound.,,5_2
"In any case, time is up. Real life intrudes. I am told that shopping in this store is complete. There are fabulous bargains to be had elsewhere, and I should come along because, I?m told, I can ponder doom anywhere. Thus shopping really does trump apocalypse.",,0_0
"In effect, EPA could insert itself (or your State environmental agency) into most local planning and zoning processes. I will write more about this in the future. It terrifies me.",,0_0
"Antarctica's climate has never been stable, and there have many significant changes in the past few thousand years, indeed the past few hundred as well. Proxy indicators from ice cores show abrupt alterations in atmospheric circulation and temperature. One of the most dramatic changes was the intensification of the circumpolar westerly winds between 6000 and 5000 years ago and between 1200 and 1000 years ago.",,0_0
A blogger named Steven Goddard whose actual name is Tony Heller posted a reaction to this blog post of mine . Here is my answer:,,0_0
Yesterday's blog was on the hype about heat waves--the claim that people will drop like flies from heat stress in U.S. cities unless urgent action is taken to cut carbon dioxide (CO2) emissions.,,0_0
"Case Study 2. Environment Ohio: Ohio's Steve Stivers Votes to Gut the Clean Air Act""",,0_0
"on Friday, March 30th, 2012 at 6:20 am and is filed under Uncategorized.",,0_0
"I am for a carbon tax. I also believe that the Climategate emails revealed, to an extent that surprised even me (and I am difficult to surprise), an ethos of suffocating groupthink and intellectual corruption?",,5_2
"You never want a serious crisis to go to waste, incoming White House chief of staff Rahm Emanuel recently said. ""And what I mean by that is an opportunity to do things you think you could not do before.""",,0_0
"Youre still the doctor and you still have to prescribe D or P (or nothing). No matter what you prescribe something will happen to the patient. What? And when? Perhaps the malady clears up, but how soon? Perhaps the illness is merely mitigated, but by how much? You not only have to figure out what treatment is better, but what will happen if you apply that treatment. This is a very tricky business, and is why, incidentally, there is such a variance in the ability of doctors. 3 Part of the problem is explicitly defining what is meant be the patient improves. There is ambiguity in that word improve , in what will happen with either of the drugs is administered.",,0_0
"The only tiny problem"" with this proclamation is that the atmosphere can't belong to Texas. Within a day, the winds ""export"" most of the air that was located above Texas to other states (or to the volume above the oceans).""",,0_0
"On a recent weekday afternoon inside a West Main Street storefront, a room filled with folding tables and flat-screen computer monitors has drawn about a dozen people all focused on the spinning and flashing images onscreen.",,0_0
"But the Malaysia story is of a piece with every part of Goldberg's deep look into what drives Obama, the man. The president confuses the reality of the world with his own prejudices about it: Venezuelan leader Hugo Chvez wasn't worth his attention because he was all talk. Saudi Arabia is only trying to use US power to win its petty war with Iran. Tribalism is what drives the modern Middle East, and we shouldn't get into that fight. Think tanks in Washington aren't driven by ideas, but by Jewish and Muslim money. Russia doesn't matter. Climate change is huge. Getting Malaysia on board in the fight against the Islamic State is key. And then there's the United States: America is a nation with bad instincts, whose hubris should be regulated"" and propensity to manage the challenges of the world constrained by outside forces. (Other than the weather, which he believes Americans ought to be able to manage.)""",,0_0
"I'll try to get a look at the presentations when I get a minute. In the meantime, it's remarkable to compare the House Committee's take on Oxburgh with Joe Farman's from the previous post.",,0_0
