0,subjectivity,1
"Instead of saying clearly that the models prove that humans cause global warming, they have to talk with forked tongues with such phrases as: This experiment showed that the projections of climate models are consistent with recorded temperature trends over recent decades only if human impacts are included.",,5_2
"A paper in press for the journal Tellus finds the best estimate"" of climate sensitivity to CO2 is about 33% less than estimated by the IPCC. According to the authors, the best estimate of transient climatesensitivityis 1.5C for a doubling of CO2 levels, and equilibrium climate sensitivity about 2C. The paper finds a lower bound on equilibrium climate sensitivity of 1.16C per doubling of CO2. The paper a dds to many recent peer-reviewed papers finding climate sensitivity to CO2 is significantly less than claimed by the IPCC .""",,3_1
caused by factors (as food or a traumatic factor) or an agent (as a disease-producing organism) from outside the organism or system.,,0_0
"While discussing extreme weather, including simultaneous extended periods of cold and unprecedented winter warmth, climate alarmist Michael Mann of Penn State University said that connections to climate change were a speculative and genuinely controversial area of the science.",,1_7
Michael Barone on the changing demographic of urban America;,,0_0
"But there was one player that the White House doesn't seem to have fully taken into account: Vladimir Putin. It's doubtful that at this point President Obama retains many of the optimistic illusions that marked the early stages of his Russia policy: the naive hopes that Medvedev might offer a serious alternative to Putin, the belief that Putin was angry only because of errors on our part, the belief that he is a geopolitical bumbler whose serial errors would soon trip him up. Those mists and fogs have (finally, after many lost months and years) burned away, but the White House may not yet understand the degree to which humiliating President Obama and making him look weak has become a principle driver of Russian policy.",,0_0
"4. Given that many of these models predicted warming trends well before China surpassed the United States as the largest GHG emitter, and given the fact that emissions continue to grow at a pace beyond what was originally incorporated into the models, shouldnt the warming be far worse than what was predicted in the worst case scenarios rather than well below predictions?",,5_1
Dennis T. Avery's Official Challenge to Al Gore,,0_0
"The statistics for 2004 and 2005 may look ominous at first blush, but we have no way of knowing how the remainder of the decade will ultimately pan out. With annual landfalling hurricane counts of 0, 1, 2, 6 and 6 for the period 2001-2005, it could be a big decade -- or not.",,0_0
"CO2 by itself does not trap enough heat to account for 20th century warming. The CO2 warming theory depends on a strong water vapor amplification mechanism, where the initial CO2 temperature forcing evaporates water into atmosphere whichg traps yet more heat, creating yet more water vapor, etcetera. As Roy notes, it is this warming and humidifying of the global atmosphere and the resulting acceleration of the hydrologic cycle that creates the upper troposphere hotspot. Ergo, no hotspot means no powerful water vapor amplification mechanism and no CO2-based account of late 20th century warming.",,2_3
"For example, based on data from the Scripps Institution of Oceanography Pier, studies in the 1990s showed that higher temperatures are beneficial for sardine production. By 2010 new studies proved that the temperature correlation was instead a misleading, or mirage, determination.",,3_2
"And furthermore, Hockey Schtick reports on a new paper that shows an ice sheet on the northern tip of Greenland has remained unchanged or grown slightly in the last few years:",,1_1
#31. Key Finding of International Scientific Panel's Analysis of Climate-Change,,0_0
Glacier Scientist: I Knew Data Hadn't Been Verified,,5_1
"Although the authors do not claim to have ???unambiguously established??the MWP in the Antarctic Peninsula (AP),they conclude that their ???ikaite record builds the case that the oscillations of the MWP and LIA are global in their extent and their impact reaches as far South as the Antarctic Peninsula, while prior studies in the AP region have had mixed results.??Their research also indicates that the APmay have beenwarmer during theMWP thanin recent decades:??Our most recent crystals suggest a warming relative to the LIA in the last century, possibly as part of the regional recent rapid warming, but this climatic signature is not yet as extreme in nature as the MWP ?? (emphasis added).",,2_1
"The challenge of forecasting 2110 is readily illustrated by looking back 100 years ago to 1910. Consider what sages a century ago might have guessed about the impact of just a handful of technologies invented circa 1910: the washing machine, vacuum cleaner, vacuum tube, air conditioner, central telephone exchange and airplane.",,0_0
"In summary, the WWF report Worlds Top 10 Rivers at Risk which is making news today, is about 20 years out of date at least with respect to the Murray River. Indeed while numbers of native fish have on average, probably declined since European settlement, with a crash in Murray Cod populations in the early 1960s, there is evidence to suggest numbers of native fish, including the Murray Cod, are now on the increase while invasive species are on the decline. So the WWF has got it all the wrong way around. Then again, they are perhaps more interested in hand-waving than river ecology.",,5_2
Indur Goklany examinesthe World Health Organisations recent report on climate change and findsthat its estimates of future mortality from global warming are grossly exaggerated. Full paper (PDF),,0_0
Image source: National Snow and Ice Data Center via the WUWT sea ice page .,,0_0
US House Committee to Examine Obama Administrations Approach for Enforcing Wildlife Laws and Impacts on U.S. Energy,,0_0
"Appropriate caveats and exceptions are usually delineated in journal articles when using the old methods, but the results are buried in the text, which causes them to be weighed more or less importantly, and which give the reader a false sense of security. Because, in the end, we are left with the suitably highlighted number from equation #3, that comforting exact quantification reached by implementing impressive mathematical methods. That final number, which we can now see is not final at all, is tangible, and is held on to doggedly. All the evidence to the right of the bar is forgotten or downplayed because it is difficult to keep in mind.",,0_0
"Then at BBC on Dec 5 , where the IPCC WG2 author denied any problem:",,5_2
"27 Flynt Leverett and Pierre Noel, The New Axis of Oil,"" National Interest (Summer 2006).""",,0_0
"Nevertheless, a July 22 Washington Post feature breathlessly announced: Inaction on climate change would cause billions, major EPA study finds."" The article quoted EPA Administrator Gina McCarthy saying: ""The results are quite startling and very clear. Left unchecked, climate change affects our health, infrastructure, and outdoors we love. But more importantly the report shows that global action on climate will save lives.""",,0_0
"The protesters are hoping that President Obama will block the $7 billion pipeline. Their rationale: The pipeline will result in major increases in carbon-dioxide emissions, and therefore it must be stopped or catastrophic climate change will ensue. Protest as they might, a State Department report found that the pipeline will not have a major environmental impact.",,0_0
"Horizontal axis is thousands of years before the present. Second graph shows a decrease in El Nino intensity since the Minoan Warm Period 3,000 years ago. Bottom graphs show modern droughts are not unusual or unprecedented.",,1_7
"Finally, does anyone else think that averaging high mountain tundra temperature anomalies with lowland plains anomalies, in order to adjust foothills anomalies, is a method that might work but that it definitely would take careful watching and strict quality control?",,5_1
"A series of international meetings on climate policy were held starting in 1990 and culminating in the Kyoto Protocol of 1997, which called for significant reduction of greenhouse gas emissions. Since then substantial differences have developed between the American and European Union approaches to Kyoto. Dr. Thorning will discuss the economic, political and cultural fctors leading to the differences in climate change policies favored by the U.S. and the E.U. She will also discuss recent changes in the E.U. climate change policy and explore options for a global solution to the potential threat of climate change.",,0_0
"Thompson et al (2009) Identifying signatures of natural climate variability in time series of global-mean surface temperature: Methodology and Insights reinforces the 1945 discontinuity and provide advanced notice of the Hadley Centres intent. They write, THE SST DATA CORRECTED FOR INSTRUMENT CHANGES IN THE MID 20TH CENTURY ARE EXPECTED TO BECOME AVAILABLE IN 2009, and it will be interesting to see how the corrections affect the time history of global-mean temperatures, particularly in the middle part of the century.",,0_0
"Finally ???more than 97% of all actively publishing* climate scientists agree that climate change is real and human caused?? is probably an underestimate, as virtually everyone acknowledges that the surface temperature is warmer than it was, and that multifarious human activities have some influence on climate. Rather, he misses the point well-made by the original Journal article, which is that the rise in surface temperature is clearly below the values first forecast by the UN in 1990. The coreunsettledissue in climate science is the ???sensitivity?? of temperature to carbon dioxide, and there are several independent lines of evidence, including the surface temperature history and the water vapor problems, that argue that it has been substantially overestimated.",,3_1
"Any significant changes in the abundance, distribution, or existence of sea ice will have effects on the number and behavior of these animals and their prey, according to FWS. ""This loss of habitat puts polar bears at risk of becoming endangered in the foreseeable future, the standard established by the ESA for designating a threatened species.""",,0_0
"How has the MWP almost disappeared again, just in time to perhaps go missing in IPCC AR5? Science supplemental information says the average resolution of the 73 paleoclimate series is 160 years, and the median is 120. The proxy selection was deliberately weighted toward low frequency resolution, since the entire Holocene was being assessed. Figure S18c (below) shows there is no statistically valid resolution to the combined proxy set for anything less than 300-year periods. The paper itself said, our temperature stack does not fully resolve variability at periods shorter than 2000 years",,5_1
"Well, we already know that models cant simulate the coupled ocean-atmosphere processes that cause global sea surface temperatures to warm over multidecadal periods. (See the quick overview that follows.) So, the difference between the modeled and observed ratios of land to sea surface temperature warming rates suggests the basic underlying physics within the models are skewed. Skewed is the nicest word I could think to use.",,5_1
"But problems with the GDP measurement exist. Prices may not exist for some goods and services, such as government-provided free health care or family care services, so statisticians have to impute prices to get a more complete GDP measure. Yet imputation is unreliable, given that the necessarily subjective evalu-ations are done by remote statisticians and not by consumers using the services. Additionally, discrepancies arise when the imputed values of these services vary cross-nationally. For instance, many services are valued more highly in Finland than in the United States because in the former the government sector is larger. Not including these services would bias Finland's GDP downward in relative terms.",,0_0
"Divide et Impera -- divide and conquer -- is perhaps the oldest strategic maxim of war, politics, and diplomacy. Businesses succumb to it time and time again. Why?",,0_0
"Were that fact mentioned in Al Gore's movie, the Kyoto Protocol might not survive its second anniversary.",,0_0
"(I would have posted this earlier, but I didnt hear about it until today. For some reason, the national media doesnt seem to have noticed this.)",,0_0
"Thanks to Lyn Jenkins,Dean Koehler and Laurel for these links",,0_0
Tropical Cyclones Making Land-Fall Over Eastern Australia,,0_0
"concentrations will result in broad-scale decreases in the concentrations of all elements essential for plant function and animal nutrition, as proposed by Loladze (2002). They also say their generally opposite results for non-essential trace elements (some of which can be toxic) ""may be applicable to contaminated systems,"" stating that ""elevated CO 2 may, through dilution effects, alleviate aluminum toxicity."" In general, therefore, one could say that elevated CO 2 tends to increase the availability of helpful trace elements, while it tends to decrease the availability of harmful ones. References""",,3_3
"Presidential candidate Mitt Romney understands that achieving this goal requires unleashing American ingenuity, reducing excessive regulatory strangleholds on businesses and working capital, and allowing safe, proven technologies to tap and utilize our vast onshore and offshore deposits of oil, natural gas and other energy riches. He knows we can do all this without sacrificing important environmental values.",,0_0
"Often focused on century-long trends, most climate models failed to predict that the temperature rise would slow, starting around 2 000. Scientists are now intent on figuring out the causes and determining whether the respite will be brief or a more lasting phenomenon.",,1_4
"Here is what the Newcastle wind turbine looks like during the day, note the coal terminal in the background.",,0_0
